ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΥΠΟΛΟΓΙΣΤΩΝ, Μ. ΤΙΤΣΙΑΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 15-17, CSLAB 1, Παρασκευή
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΥΠΟΛΟΓΙΣΤΩΝ, Μ. ΤΙΤΣΙΑΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, CSLAB 1, Παρασκευή
1, ΜΑΘΗΜΑΤΙΚΑ Ι, Σ. ΤΟΥΜΠΗΣ, Πληροφορικής, -, 11-13, Β, Τρίτη
1, ΜΑΘΗΜΑΤΙΚΑ Ι, Σ. ΤΟΥΜΠΗΣ, Πληροφορικής, -, 9-11, Α, Τετάρτη
1, ΜΑΘΗΜΑΤΙΚΑ Ι, Σ. ΤΟΥΜΠΗΣ, Πληροφορικής, -, 13-15, Β, Τετάρτη
3, ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ, ΜΑΡΚΑΚΗΣ, Πληροφορικής, -, 13-15, Δο, Τρίτη
3, ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ, ΜΑΡΚΑΚΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, CSLAB 1, Τρίτη
3, ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ, ΜΑΡΚΑΚΗΣ, Πληροφορικής, -, 15-17, Β, Πέμπτη
3, ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ, ΜΑΡΚΑΚΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, CSLAB 2, Πέμπτη
3, ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ, ΜΑΡΚΑΚΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 9-11, CSLAB 2, Πέμπτη
3, ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ, ΜΑΡΚΑΚΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 9-11, CSLAB 2, Παρασκευή
3, ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ, ΜΑΡΚΑΚΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, CSLAB 2, Παρασκευή
3, ΟΡΓΑΝΩΣΗ ΣΥΣΤΗΜΑΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, -, 17-19, Β, Τετάρτη
3, ΟΡΓΑΝΩΣΗ ΣΥΣΤΗΜΑΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, -, 15-17, Δ24, Παρασκευή
3, ΟΡΓΑΝΩΣΗ ΣΥΣΤΗΜΑΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, Α25, Παρασκευή
3, ΟΡΓΑΝΩΣΗ ΣΥΣΤΗΜΑΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 19-21, CSLAB 1, Παρασκευή
3, ΟΡΓΑΝΩΣΗ ΣΥΣΤΗΜΑΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 19-21, CSLAB 2, Παρασκευή
3, ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ ΜΕ C++, ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, CSLAB 2, Δευτέρα
3, ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ ΜΕ C++, ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 15-17, CSLAB 2, Δευτέρα
3, ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ ΜΕ C++, ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, Η/Υ 2, Δευτέρα
3, ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ ΜΕ C++, ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, -, 11-13, Δο, Τρίτη
3, ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ ΜΕ C++, ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 9-11, CSLAB 2, Τετάρτη
3, ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ ΜΕ C++, ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, CSLAB 2, Τετάρτη
3, ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ ΜΕ C++, ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, CSLAB 2, Τετάρτη
3, ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ ΜΕ C++, ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, -, 17-19, Β, Πέμπτη
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ, Π. Βασσάλος, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, CSLAB 1, Δευτέρα
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ, Π. Βασσάλος, Πληροφορικής, ΕΡΓΑΣΤΗΡΙΟ, 19-21, CSLAB 1, Δευτέρα
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ, Π. Βασσάλος, Πληροφορικής, ΕΡΓΑΣΤΗΡΙΟ, 19-21, CSLAB 1, Τρίτη
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ, Π. Βασσάλος, Πληροφορικής, ΕΡΓΑΣΤΗΡΙΟ, 19-21, CSLAB 1, Τετάρτη
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ (Α-Λ), ΒΑΣΣΑΛΟΣ Π., Πληροφορικής, -, 9-11, Α, Δευτέρα
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ (Α-Λ), ΒΑΣΣΑΛΟΣ Π., Πληροφορικής, -, 19-21, Α, Τρίτη
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ (Α-Λ), ΒΑΣΣΑΛΟΣ Π., Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ (Α-Λ), 19-21, Δ24, Πέμπτη
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ (Μ-Ω), Παν. Υπότροφος, Πληροφορικής, -, 9-11, Δο, Τρίτη
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ (Μ-Ω), Παν. Υπότροφος, Πληροφορικής, -, 9-11, Δο, Παρασκευή
3, ΥΠΟΛΟΓΙΣΤΙΚΑ ΜΑΘΗΜΑΤΙΚΑ (Μ-Ω), Παν. Υπότροφος, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ (Μ-Ω), 13-15, Α31, Παρασκευή
5, ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ, Π.ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ  - Χ. ΚΑΠΕΤΗΣ, Πληροφορικής, -, 11-13, Δ24, Δευτέρα
5, ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ, Π.ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ  - Χ. ΚΑΠΕΤΗΣ, Πληροφορικής, -, 11-13, Δ22, Τρίτη
5, ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ, Π.ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ  - Χ. ΚΑΠΕΤΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ (Α-Λ), 11-13, Α23, Τετάρτη
5, ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ, Π.ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ  - Χ. ΚΑΠΕΤΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ (Μ-Ω), 17-19, Α32, Πέμπτη
5, ΑΞΙΟΛΟΓΗΣΗ ΕΠΕΝΔΥΣΕΩΝ ΜΕ ΕΦΑΡΜΟΓΕΣ ΣΤΗ ΠΛΗΡ/ΚΗ, Παν. Υπότροφος, Πληροφορικής, -, 15-17, Δ22, Δευτέρα
5, ΑΞΙΟΛΟΓΗΣΗ ΕΠΕΝΔΥΣΕΩΝ ΜΕ ΕΦΑΡΜΟΓΕΣ ΣΤΗ ΠΛΗΡ/ΚΗ, Παν. Υπότροφος, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 19-21, Α22, Δευτέρα
5, ΑΞΙΟΛΟΓΗΣΗ ΕΠΕΝΔΥΣΕΩΝ ΜΕ ΕΦΑΡΜΟΓΕΣ ΣΤΗ ΠΛΗΡ/ΚΗ, Παν. Υπότροφος, Πληροφορικής, -, 15-17, Δ24, Τρίτη
5, ΑΞΙΟΛΟΓΗΣΗ ΕΠΕΝΔΥΣΕΩΝ ΜΕ ΕΦΑΡΜΟΓΕΣ ΣΤΗ ΠΛΗΡ/ΚΗ, Παν. Υπότροφος, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 19-21, Α25, Πέμπτη
5, ΔΙΚΤΥΑ ΕΠΙΚΟΙΝΩΝΙΩΝ, ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ, Πληροφορικής, -, 9-11, Δ24, Δευτέρα
5, ΔΙΚΤΥΑ ΕΠΙΚΟΙΝΩΝΙΩΝ, ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, Δ22, Τετάρτη
5, ΔΙΚΤΥΑ ΕΠΙΚΟΙΝΩΝΙΩΝ, ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ, Πληροφορικής, -, 9-11, Δ24, Πέμπτη
5, ΕΦΑΡΜΟΣΜΕΝΕΣ ΠΙΘΑΝΟΤΗΤΕΣ & ΠΡΟΣΟΜΟΙΩΣΗ, ΚΟΝΤΟΓΙΑΝΝΗΣ, Πληροφορικής, -, 13-15, Δ22, Τρίτη
5, ΕΦΑΡΜΟΣΜΕΝΕΣ ΠΙΘΑΝΟΤΗΤΕΣ & ΠΡΟΣΟΜΟΙΩΣΗ, ΚΟΝΤΟΓΙΑΝΝΗΣ, Πληροφορικής, -, 13-15, Δ22, Παρασκευή
5, ΕΦΑΡΜΟΣΜΕΝΕΣ ΠΙΘΑΝΟΤΗΤΕΣ & ΠΡΟΣΟΜΟΙΩΣΗ, ΚΟΝΤΟΓΙΑΝΝΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, Δ22, Παρασκευή
5, ΛΟΓΙΚΗ, ΦΟΥΣΤΟΥΚΟΥ, Πληροφορικής, -, 9-11, Α32, Τετάρτη
5, ΛΟΓΙΚΗ, ΦΟΥΣΤΟΥΚΟΥ, Πληροφορικής, -, 9-11, Δ22, Παρασκευή
5, ΣΤΑΤΙΣΤΙΚΗ ΣΤΗ ΠΛΗΡΟΦΟΡΙΚΗ, ΔΗΜΑΚΗΣ, Πληροφορικής, -, 9-11, Δ22, Τρίτη
5, ΣΤΑΤΙΣΤΙΚΗ ΣΤΗ ΠΛΗΡΟΦΟΡΙΚΗ, ΔΗΜΑΚΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 15-17, CSLAB 2, Τετάρτη
5, ΣΤΑΤΙΣΤΙΚΗ ΣΤΗ ΠΛΗΡΟΦΟΡΙΚΗ, ΔΗΜΑΚΗΣ, Πληροφορικής, -, 11-13, Δ24, Πέμπτη
5, ΣΤΑΤΙΣΤΙΚΗ ΣΤΗ ΠΛΗΡΟΦΟΡΙΚΗ, ΔΗΜΑΚΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 15-17, Δ22, Πέμπτη
5, ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ, Ι. ΑΝΔΡΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, -, 13-15, Δ24, Πέμπτη
5, ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ, Ι. ΑΝΔΡΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, -, 11-13, Α25, Παρασκευή
7, ΑΣΥΡΜΑΤΑ ΔΙΚΤΥΑ ΚΑΙ ΚΙΝΗΤΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ, ΣΥΡΗΣ, Πληροφορικής, -, 9-11, Α32, Δευτέρα
7, ΑΣΥΡΜΑΤΑ ΔΙΚΤΥΑ ΚΑΙ ΚΙΝΗΤΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ, ΣΥΡΗΣ, Πληροφορικής, -, 9-11, Α22, Τετάρτη
7, ΑΣΥΡΜΑΤΑ ΔΙΚΤΥΑ ΚΑΙ ΚΙΝΗΤΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ, ΣΥΡΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, Α25, Πέμπτη
7, ΑΣΦΑΛΕΙΑ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ, Παν. Υπότροφος, Πληροφορικής, -, 17-19, Α24, Δευτέρα
7, ΑΣΦΑΛΕΙΑ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ, Παν. Υπότροφος, Πληροφορικής, -, 15-17, Α24, Πέμπτη
7, ΓΡΑΦΙΚΑ ΥΠΟΛΟΓΙΣΤΩΝ, Γ.ΠΑΠΑΪΩΑΝΝΟΥ, Πληροφορικής, -, 13-15, Α25, Τρίτη
