ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
2, Tutorials ΜΑΚΡΟΟΙΚΟΝΟΜΙΚΗ Ι, TUTOR, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 15-17, Α22, Παρασκευή
2, Tutorials ΜΑΚΡΟΟΙΚΟΝΟΜΙΚΗ Ι, TUTOR, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 15-17, A44, Παρασκευή
2, ΕΦΑΡΜΟΓΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ, Ε. Βραχνός, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 17-19, Η/Υ 3, Τρίτη
2, ΕΦΑΡΜΟΓΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ, Ε. Βραχνός, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 13-15, Η/Υ1 Η/Υ 2, Παρασκευή
2, ΜΑΘΗΜΑΤΙΚΑ ΙΙ, Α. Ξεπαπαδέας, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, ΦΡΟΝΤΙΣΤΗΡΙΟ (Α-Λ), 13-15, A44, Δευτέρα
2, ΜΑΘΗΜΑΤΙΚΑ ΙΙ, Α. Ξεπαπαδέας, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, ΦΡΟΝΤΙΣΤΗΡΙΟ (Μ-Ω), 15-17, Α22, Δευτέρα
2, ΜΑΘΗΜΑΤΙΚΑ ΙΙ, Α. Ξεπαπαδέας, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 17-19, Α21, Τετάρτη
2, ΜΑΘΗΜΑΤΙΚΑ ΙΙ, Α. Ξεπαπαδέας, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 17-19, Α24, Παρασκευή
2, ΜΑΚΡΟΟΙΚΟΝΟΜΙΚΗ Ι , Π. ΚΩΝΣΤΑΝΤΙΝΟΥ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 9-11, Α21, Τρίτη
2, ΜΑΚΡΟΟΙΚΟΝΟΜΙΚΗ Ι , Π. ΚΩΝΣΤΑΝΤΙΝΟΥ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, ΦΡΟΝΤΙΣΤΗΡΙΟ, 15-17, Α22, Τετάρτη
2, ΜΑΚΡΟΟΙΚΟΝΟΜΙΚΗ Ι , Π. ΚΩΝΣΤΑΝΤΙΝΟΥ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 9-11, Δο, Παρασκευή
2, ΠΟΛΙΤΙΚΗ ΤΗΣ ΕΥΡΩΠΑΪΚΗΣ ΕΝΟΠΟΙΗΣΗΣ, ΜΠΛΑΒΟΥΚΟΣ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 9-11, Δ22, Δευτέρα
2, ΠΟΛΙΤΙΚΗ ΤΗΣ ΕΥΡΩΠΑΪΚΗΣ ΕΝΟΠΟΙΗΣΗΣ, ΜΠΛΑΒΟΥΚΟΣ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 11-13, Α21, Τρίτη
2, ΣΤΑΤΙΣΤΙΚΗ, Α. Ντέμος, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, Α21, Δευτέρα
